,Number,Gender,NameSet,GivenName,Surname,StreetAddress,City,StateFull,ZipCode,CountryFull,EmailAddress,TelephoneNumber,Birthday,Age,Occupation,Company,Vehicle,BloodType,Kilograms,FeetInches,CrimeType,Area,Crime by Area
0,1,male,American,Rey,Hereford,2591 Tolmie St,Vancouver,British Columbia,V6M 1Y8,Canada,WilliamGHereford@superrito.com,604-261-4862,3/19/1995,27,Training and development manager,MagnaSolution,2006 BMW 320,B-,94.6,"5' 8""",Other Theft,South Granville,98
1,2,male,American,Hector,Mull,2221 Birkett Lane,Brantford,Ontario,N3T 2Z8,Canada,DennisJMull@einrot.com,519-756-6511,06-07-1989,33,Card punching machine operator,Red Robin Stores,2006 Koenigsegg CCR,A+,81.8,"6' 0""",Other Theft,Grandview,13
2,3,male,American,Margaret,Fells,525 Brew Creek Rd,Whistler,British Columbia,V0N 1B0,Canada,KevinJFells@teleworm.us,604-938-5620,1/20/1973,50,Mail handler,Olson Electronics,1999 Hyundai Sonata,A-,72.5,"5' 9""",Other Theft,West Point Grey,193
3,4,female,American,Ervin,Simpson,1969 Kinchant St,Kamloops,British Columbia,V2C 1Y1,Canada,MarcellaCSimpson@jourrapide.com,250-572-1406,09-06-1972,50,Scanner operator,Tee Town,2014 BMW 5 Series,B+,106.0,"5' 0""",Other Theft,South Vancouver,787
4,5,male,American,Beatrice,Graig,1185 Garafraxa St,Tara,Ontario,N0H 2N0,Canada,RobinDGraig@teleworm.us,519-934-2641,2/27/1993,29,Bookmobile driver,Omni Superstore,2006 Renault Vel Satis,O+,105.0,"5' 7""",Other Theft,Oakville,13
5,6,male,American,Sandy,Guzman,1436 René-Lévesque Blvd,Montreal,Quebec,H3B 4W8,Canada,CarltonBGuzman@dayrep.com,514-581-6486,9/24/1995,27,Employee assistance plan manager,Blockbuster Music,2000 Citroen C2,A+,77.1,"6' 0""",Other Theft,Central,13
6,7,female,American,Ronald,Hope,1009 Burdett Avenue,Terrace,British Columbia,V8G 1S2,Canada,JenniferTHope@einrot.com,250-615-9360,05-07-1975,47,Retail salesperson,Price's Electronics,2006 Toyota RAV4,B+,88.7,"5' 2""",Break and Enter Residential/Other,West Point Grey,193
7,8,female,American,Kathy,Burrell,3326 Merivale Road,Ottawa,Ontario,K2P 0K1,Canada,HelenaABurrell@fleckens.hu,613-263-8900,3/18/1992,30,Lyricist,J. Brannam,1995 Hyundai Lantra,O+,65.3,"5' 7""",Mischief,Mount Pleasant,8
8,9,female,American,Santos,Culp,3147 Stoney Creek,Govan,Saskatchewan,S4P 3Y2,Canada,MaryLCulp@cuvox.de,306-484-8161,12-01-1990,32,Nuclear technician,Morrison's Cafeteria,1995 GMC Safari,A+,49.8,"5' 3""",Other Theft,Central,2198
9,10,female,American,David,Huey,653 Scotchmere Dr,Chatham,Ontario,N7M 5J7,Canada,BarbaraBHuey@teleworm.us,519-401-3979,5/15/1989,33,Sauce cook,McDade's,2000 Chevrolet Blazer,A+,59.6,"5' 1""",Break and Enter Residential/Other,Kitsilano,2198
